2017-06-19 03:46:59 install libncursesw5:armhf <none> 6.0+20160213-1ubuntu1
2017-06-19 03:46:59 status half-installed libncursesw5:armhf 6.0+20160213-1ubuntu1
2017-06-19 03:46:59 status unpacked libncursesw5:armhf 6.0+20160213-1ubuntu1
2017-06-19 03:46:59 status unpacked libncursesw5:armhf 6.0+20160213-1ubuntu1
2017-06-19 03:46:59 install libpam-modules:armhf <none> 1.1.8-3.2ubuntu2
2017-06-19 03:46:59 status half-installed libpam-modules:armhf 1.1.8-3.2ubuntu2
2017-06-19 03:47:01 status unpacked libpam-modules:armhf 1.1.8-3.2ubuntu2
2017-06-19 03:47:01 status unpacked libpam-modules:armhf 1.1.8-3.2ubuntu2
2017-06-19 03:47:01 install libpam-modules-bin:armhf <none> 1.1.8-3.2ubuntu2
2017-06-19 03:47:01 status half-installed libpam-modules-bin:armhf 1.1.8-3.2ubuntu2
2017-06-19 03:47:01 status unpacked libpam-modules-bin:armhf 1.1.8-3.2ubuntu2
2017-06-19 03:47:01 status unpacked libpam-modules-bin:armhf 1.1.8-3.2ubuntu2
2017-06-19 03:47:01 install libpam-runtime:all <none> 1.1.8-3.2ubuntu2
2017-06-19 03:47:01 status half-installed libpam-runtime:all 1.1.8-3.2ubuntu2
2017-06-19 03:47:01 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-06-19 03:47:01 status unpacked libpam-runtime:all 1.1.8-3.2ubuntu2
2017-06-19 03:47:01 install libpam0g:armhf <none> 1.1.8-3.2ubuntu2
2017-06-19 03:47:01 status half-installed libpam0g:armhf 1.1.8-3.2ubuntu2
2017-06-19 03:47:01 status unpacked libpam0g:armhf 1.1.8-3.2ubuntu2
2017-06-19 03:47:02 status unpacked libpam0g:armhf 1.1.8-3.2ubuntu2
2017-06-19 03:47:02 install libpcre3:armhf <none> 2:8.38-3.1
2017-06-19 03:47:02 status half-installed libpcre3:armhf 2:8.38-3.1
2017-06-19 03:47:02 status unpacked libpcre3:armhf 2:8.38-3.1
2017-06-19 03:47:02 status unpacked libpcre3:armhf 2:8.38-3.1
2017-06-19 03:47:02 install libprocps4:armhf <none> 2:3.3.10-4ubuntu2
2017-06-19 03:47:02 status half-installed libprocps4:armhf 2:3.3.10-4ubuntu2
2017-06-19 03:47:02 status unpacked libprocps4:armhf 2:3.3.10-4ubuntu2
2017-06-19 03:47:02 status unpacked libprocps4:armhf 2:3.3.10-4ubuntu2
2017-06-19 03:47:02 install libseccomp2:armhf <none> 2.2.3-3ubuntu3
2017-06-19 03:47:02 status half-installed libseccomp2:armhf 2.2.3-3ubuntu3
